Date,Customer,Product,Quantity,Price,City
2023-02-08,Customer_16,Mouse,5.0,,Philadelphia
2023-03-01,Customer_5,Laptop,1.0,470.46,Houston
2023-06-17,Customer_14, SMARTPHONE ,4.0,215.6,Phoenix
2023-09-29,Customer_6,Laptop,,,Los Angeles
17/04/2023,Customer_7,Tablet,2.0,252.44,Los Angeles
2023-03-18,Customer_15,Monitor,8.0,530.78,Phoenix
2023-10-29,Customer_18, SMARTPHONE ,10.0,,
2023-08-18,Customer_12,Monitor,10.0,181.4,Phoenix
2023-10-31,Customer_9,Tablet,4.0,1249.48,New York
2023-07-30,Customer_2, TABLET ,8.0,1063.74,San Antonio
